01-01 00:40:45.918  2955  2955 I kernel  : Start to log kernel message
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.029679] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.029683] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.029687] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.059479] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.069103] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.069107] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.069111] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.098839] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.108463] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.108467] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.108470] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.138198] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.147822] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.147825] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.147829] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.177557] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.187180] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.187183] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.187186] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.216921] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.226546] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.226549] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.226552] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.256279] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.265904] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.265907] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.265911] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.300269] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.309630] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.309635] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.309637] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.339628] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.348991] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.348994] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.348998] hralvds 0-0055: setup_link() failed.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.378987] hralvds 0-0055: Serializer i2c addr 0xc.
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.388350] hralvds 0-0055: PCLK not present.
01-01 00:40:45.918  2955  2955 I kernel  : <6>[    2.388354] hralvds 0-0055: hralvds_setup_link ends on error
01-01 00:40:45.918  2955  2955 I kernel  : <3>[    2.388357] hralvds 0-0055: setup_link() failed.
